ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1981,6,0,0,0,0,0,0,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1981,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1981,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0,0
1981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1981,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,2.6
1981,11,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,28.6,0,28.8,0,0,
1981,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,6.2,19,0,0,46.6,10.2,0,60.1,20.2,0,0,0
1982,1,0,0,2.6,24.2,0,3.8,0,88.6,0,0,0,0,0,0,5.4,28.4,0,0,0,9.2,0,17.4,0,6.2,54.8,0,1.2,0,0,0,29
1982,2,9.6,32.4,0,24.6,6.2,0,0,0,25,0,20.8,1,4.6,15.6,5,0,17,42,0,0,0,0,7,12.4,0,13.6,26.8,0,,,
1982,3,0,2.6,26.4,56.2,0,0,50.4,17.4,0,0,0,0,10.6,0,30,6.4,0,0,5,0,24.6,0,0,6.4,0,50.2,36.4,25.2,0,20,8.4
1982,4,0,20,22.4,0,5,0,8,0,0,35,0,0,0,7.4,0,0,10.4,0,0,0,21.4,12.6,0,0,0,0,0,2,4.6,0,
1982,5,0,0,0,8.4,2,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,
1982,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1982,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,4,0,0
1982,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,
1982,12,0,0,0,0,0,0,0,0,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6,53,0,0,0,10.4
1983,1,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,8.4,0,0,2,0,0,0,0,9.8,0,0,60.8,0,0
1983,2,0,0,8.6,0,0,4.2,38.6,0,0,22.4,0,0,0,0,0,26,0,4.4,0,2.6,0,0,0,0,0,0,0,0,,,
1983,3,0,0,0,0,0,0,12.8,2.4,7.4,2.2,0,16,0,6.2,0,0,0,0,0,0,80.6,0,51.6,0,0,0,49.2,95.2,0,8.6,52.2
1983,4,0,0,0,0,15.2,0,0,40.2,30,24,0,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1983,5,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0
1983,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1983,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,8,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
